# tauvisc_Myr, Mstar_Msol, FUV_G0, Mdisc_Msol, Rscale_au, alphavisc, Tdisp_Myr
2.000000000000000000e+00,1.000000000000000056e-01,5.000000000000000000e+03,1.000000000000000194e-02,4.000000000000000000e+01,8.538149682454625883e-03,1.809328921910860755e-01
2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+04,1.000000000000000194e-02,4.000000000000000000e+01,8.538149682454625883e-03,1.915844128396739995e-02
2.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+01,2.999999999999999889e-02,4.000000000000000000e+01,4.929503017546495516e-03,1.000000000000000000e+01
2.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,2.999999999999999889e-02,4.000000000000000000e+01,4.929503017546495516e-03,1.000000000000000000e+01
2.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+03,2.999999999999999889e-02,4.000000000000000000e+01,4.929503017546495516e-03,4.359921130767648201e+00
2.000000000000000000e+00,2.999999999999999889e-01,5.000000000000000000e+03,2.999999999999999889e-02,4.000000000000000000e+01,4.929503017546495516e-03,7.218999429603246698e-01
2.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+04,2.999999999999999889e-02,4.000000000000000000e+01,4.929503017546495516e-03,3.914429566361087853e-01
2.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+01,5.000000000000000278e-02,4.000000000000000000e+01,3.818376618407357068e-03,1.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,5.000000000000000278e-02,4.000000000000000000e+01,3.818376618407357068e-03,1.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+03,5.000000000000000278e-02,4.000000000000000000e+01,3.818376618407357068e-03,7.032227724040962968e+00
2.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e+03,5.000000000000000278e-02,4.000000000000000000e+01,3.818376618407357068e-03,1.408181612977010611e+00
2.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+04,5.000000000000000278e-02,4.000000000000000000e+01,3.818376618407357068e-03,6.282040959701745697e-01
2.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+01,8.000000000000001554e-02,4.000000000000000000e+01,3.018691769624716383e-03,1.000000000000000000e+01
2.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+02,8.000000000000001554e-02,4.000000000000000000e+01,3.018691769624716383e-03,1.000000000000000000e+01
2.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+03,8.000000000000001554e-02,4.000000000000000000e+01,3.018691769624716383e-03,1.000000000000000000e+01
2.000000000000000000e+00,8.000000000000000444e-01,5.000000000000000000e+03,8.000000000000001554e-02,4.000000000000000000e+01,3.018691769624716383e-03,2.577100133211402966e+00
2.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+04,8.000000000000001554e-02,4.000000000000000000e+01,3.018691769624716383e-03,9.588513425980565996e-01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,4.000000000000000000e+01,2.700000000000000143e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000056e-01,4.000000000000000000e+01,2.700000000000000143e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,4.000000000000000000e+01,2.700000000000000143e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+03,1.000000000000000056e-01,4.000000000000000000e+01,2.700000000000000143e-03,2.652874625383581542e+00
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+04,1.000000000000000056e-01,4.000000000000000000e+01,2.700000000000000143e-03,1.817346723025955901e+00
2.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+01,1.300000000000000044e-01,4.000000000000000000e+01,2.368056652128979183e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+02,1.300000000000000044e-01,4.000000000000000000e+01,2.368056652128979183e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+03,1.300000000000000044e-01,4.000000000000000000e+01,2.368056652128979183e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.300000000000000044e+00,5.000000000000000000e+03,1.300000000000000044e-01,4.000000000000000000e+01,2.368056652128979183e-03,3.566815638952795631e+00
2.000000000000000000e+00,1.300000000000000044e+00,1.000000000000000000e+04,1.300000000000000044e-01,4.000000000000000000e+01,2.368056652128979183e-03,1.806388125575112191e+00
2.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+01,1.600000000000000311e-01,4.000000000000000000e+01,2.134537420613656471e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+02,1.600000000000000311e-01,4.000000000000000000e+01,2.134537420613656471e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+03,1.600000000000000311e-01,4.000000000000000000e+01,2.134537420613656471e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.600000000000000089e+00,5.000000000000000000e+03,1.600000000000000311e-01,4.000000000000000000e+01,2.134537420613656471e-03,4.125886212762050143e+00
2.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+04,1.600000000000000311e-01,4.000000000000000000e+01,2.134537420613656471e-03,1.974025232480212555e+00
2.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+01,1.900000000000000022e-01,4.000000000000000000e+01,1.958785875297031250e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+02,1.900000000000000022e-01,4.000000000000000000e+01,1.958785875297031250e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+03,1.900000000000000022e-01,4.000000000000000000e+01,1.958785875297031250e-03,1.000000000000000000e+01
2.000000000000000000e+00,1.899999999999999911e+00,5.000000000000000000e+03,1.900000000000000022e-01,4.000000000000000000e+01,1.958785875297031250e-03,4.618527575013820829e+00
2.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+04,1.900000000000000022e-01,4.000000000000000000e+01,1.958785875297031250e-03,2.234061461709785146e+00
5.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000194e-02,4.000000000000000000e+01,3.415259872981849919e-03,9.049652669822076945e+00
5.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.000000000000000194e-02,4.000000000000000000e+01,3.415259872981849919e-03,3.404063773323743991e+00
5.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+03,1.000000000000000194e-02,4.000000000000000000e+01,3.415259872981849919e-03,1.285357614989411923e+00
5.000000000000000000e+00,1.000000000000000056e-01,5.000000000000000000e+03,1.000000000000000194e-02,4.000000000000000000e+01,3.415259872981849919e-03,2.538034696293169357e-01
5.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+04,1.000000000000000194e-02,4.000000000000000000e+01,3.415259872981849919e-03,2.012610398485061361e-02
5.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+01,2.999999999999999889e-02,4.000000000000000000e+01,1.971801207018598033e-03,1.000000000000000000e+01
5.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,2.999999999999999889e-02,4.000000000000000000e+01,1.971801207018598033e-03,1.000000000000000000e+01
5.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+03,2.999999999999999889e-02,4.000000000000000000e+01,1.971801207018598033e-03,1.000000000000000000e+01
5.000000000000000000e+00,2.999999999999999889e-01,5.000000000000000000e+03,2.999999999999999889e-02,4.000000000000000000e+01,1.971801207018598033e-03,1.186322113656754995e+00
5.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+04,2.999999999999999889e-02,4.000000000000000000e+01,1.971801207018598033e-03,6.227050355313350494e-01
5.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+01,5.000000000000000278e-02,4.000000000000000000e+01,1.527350647362942784e-03,1.000000000000000000e+01
